1 0.476871
5 0.919698
9 1.4048
13 1.8991
17 2.37027
21 2.93917
25 3.454
29 3.87025
33 4.35812
37 4.9193
41 5.35779
45 5.89095
49 6.37307
53 6.86883
57 7.42899
61 7.85375
65 8.36562
69 8.92087
73 9.38698
77 9.92971
81 10.3786
85 10.9376
89 11.4143
93 11.9792
97 12.413
101 12.9128
105 13.4012
109 13.8842
113 14.3771
117 14.9864
121 15.4451
125 15.9643
129 16.3693
133 16.9078
137 17.3953
141 17.8395
145 18.4126
149 18.9159
153 19.4937
157 19.9615
161 20.4953
165 20.8816
169 21.4431
173 21.9327
177 22.3821
181 22.9191
185 23.4068
189 23.922
193 24.4071
197 24.9493
201 25.4574
205 25.8698
209 26.5808
213 26.9343
217 27.4567
221 27.9133
225 28.4282
229 28.9004
233 29.4033
237 29.8937
241 30.6213
245 30.9995
249 31.4803
