1 2.28183
5 2.42678
9 2.45223
13 2.47666
17 2.47242
21 2.48903
25 2.50793
29 2.51314
33 2.52847
37 2.53884
41 2.55372
45 2.56286
49 2.58213
53 2.59707
57 2.6131
61 2.63226
65 2.64693
69 2.66611
73 2.6859
77 2.70022
81 2.73717
85 2.74395
89 2.7715
93 4.67788
97 4.87041
101 4.8935
105 4.9543
109 5.13702
113 5.15405
117 5.18344
121 5.20874
125 5.25258
129 5.28112
133 5.30604
137 5.30396
141 5.34371
145 5.35996
149 5.38233
153 5.38539
157 5.41291
161 5.42286
165 5.43581
169 5.46244
173 5.49821
177 5.51487
181 6.79308
185 7.20634
189 7.37959
193 7.46809
197 7.53644
201 7.58193
205 7.63207
209 7.69475
213 7.74841
217 7.85078
221 7.91209
225 7.91955
229 7.9835
233 8.03593
237 8.05765
241 8.10819
245 8.11924
249 8.14061
